Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
08-30-2021,149.00,153.12,153.49,148.61,90956720
08-31-2021,152.66,151.83,152.80,151.29,86453120
09-01-2021,152.83,152.51,154.98,152.34,80313710
09-02-2021,153.87,153.65,154.72,152.40,71171320
09-03-2021,153.76,154.30,154.63,153.09,57866070
09-07-2021,154.97,156.69,157.26,154.39,82278260
09-08-2021,156.98,155.11,157.04,153.98,74420210
09-09-2021,155.49,154.07,156.11,153.95,57305730
09-10-2021,155.00,148.97,155.48,148.70,140893200
09-13-2021,150.63,149.55,151.42,148.75,102404300
09-14-2021,150.35,148.12,151.07,146.91,109296300
09-15-2021,148.56,149.03,149.44,146.37,83281320
09-16-2021,148.44,148.79,148.97,147.22,68034150
09-17-2021,148.82,146.06,148.82,145.76,129868800
09-20-2021,143.80,142.94,144.84,141.27,123478900
09-21-2021,143.93,143.43,144.60,142.78,75833960
09-22-2021,144.45,145.85,146.43,143.70,76404340
09-23-2021,146.65,146.83,147.08,145.64,64838170
09-24-2021,145.66,146.92,147.47,145.56,53477870
09-27-2021,145.47,145.37,145.96,143.82,74150730
09-28-2021,143.25,141.91,144.75,141.69,108972300
09-29-2021,142.47,142.83,144.45,142.03,74602040
09-30-2021,143.66,141.50,144.38,141.28,89056660
10-01-2021,141.90,142.65,142.92,139.11,94639580
10-04-2021,141.76,139.14,142.21,138.27,98322010
10-05-2021,139.49,141.11,142.24,139.36,80861060
10-06-2021,139.47,142.00,142.15,138.37,83221120
10-07-2021,143.06,143.29,144.22,142.72,61732660
10-08-2021,144.03,142.90,144.18,142.56,58773160
10-11-2021,142.27,142.81,144.81,141.81,64452220
10-12-2021,143.23,141.51,143.25,141.04,73035860
10-13-2021,141.24,140.91,141.40,139.20,78762720
10-14-2021,142.11,143.76,143.88,141.51,69907100
10-15-2021,143.77,144.84,144.90,143.51,67940330
10-18-2021,143.45,146.55,146.84,143.16,85589180
10-19-2021,147.01,148.76,149.17,146.55,76378890
10-20-2021,148.70,149.26,149.75,148.12,58418790
10-21-2021,148.81,149.48,149.64,147.87,61420990
10-22-2021,149.69,148.69,150.18,148.64,58883440
10-25-2021,148.68,148.64,149.37,147.62,50720560
10-26-2021,149.33,149.32,150.84,149.01,60893400
10-27-2021,149.36,148.85,149.73,148.49,56094930
10-28-2021,149.82,152.57,153.17,149.72,100077900
10-29-2021,147.22,149.80,149.94,146.41,124953200
11-01-2021,148.99,148.96,149.70,147.80,74588260
11-02-2021,148.66,150.02,151.57,148.65,69121990
11-03-2021,150.39,151.49,151.97,149.82,54511530
11-04-2021,151.58,150.96,152.43,150.64,60394620
11-05-2021,151.89,151.28,152.20,150.06,65463880
11-08-2021,151.41,150.44,151.57,150.16,55020870
11-09-2021,150.20,150.81,151.43,150.06,56787930
11-10-2021,150.02,147.92,150.13,147.85,65187090
11-11-2021,148.96,147.87,149.43,147.68,40999950
11-12-2021,148.43,149.99,150.40,147.48,63804010
11-15-2021,150.37,150.00,151.88,149.43,59222800
11-16-2021,149.94,151.00,151.49,149.34,59256210
11-17-2021,151.00,153.49,155.00,150.99,88807000
11-18-2021,153.71,157.87,158.67,153.05,137827700
11-19-2021,157.65,160.55,161.02,156.53,117305600
11-22-2021,161.68,161.02,165.70,161.00,117467900
11-23-2021,161.12,161.41,161.80,159.06,96041900
11-24-2021,160.75,161.94,162.14,159.64,69463620
11-26-2021,159.57,156.81,160.45,156.36,76959750
11-29-2021,159.37,160.24,161.19,158.79,88748220
11-30-2021,159.99,165.30,165.52,159.92,174048100
12-01-2021,167.48,164.77,170.30,164.53,152423000
12-02-2021,158.74,163.76,164.20,157.80,136739200
