Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
11-22-2021,344.62,339.83,349.67,339.55,31031110
11-23-2021,337.05,337.68,339.45,333.56,30427560
11-24-2021,336.28,337.91,338.16,333.91,21661310
11-26-2021,334.35,329.68,337.93,328.12,24217240
11-29-2021,334.94,336.63,339.03,334.74,28563480
11-30-2021,335.32,330.59,337.78,328.99,42885610
12-01-2021,335.13,330.08,339.28,329.39,33401150
12-02-2021,330.30,329.49,333.49,327.80,30765980
12-03-2021,331.99,323.01,332.70,318.03,41779280
12-06-2021,323.95,326.19,327.45,319.23,30032560
12-07-2021,331.64,334.92,335.80,330.10,31021940
12-08-2021,335.31,334.97,335.50,330.80,24760990
12-09-2021,334.41,333.10,336.49,332.12,22214160
12-10-2021,334.98,342.54,343.00,334.79,38095690
12-13-2021,340.68,339.40,343.79,339.08,28899430
12-14-2021,333.22,328.34,334.64,324.11,44438700
12-15-2021,328.61,334.65,335.19,324.50,35381120
12-16-2021,335.71,324.90,336.76,323.02,35034830
12-17-2021,320.88,323.80,324.92,317.25,47983710
12-20-2021,320.05,319.91,322.80,317.57,28326530
12-21-2021,323.29,327.29,327.73,319.80,24740600
12-22-2021,328.30,333.20,333.61,325.75,24831490
12-23-2021,332.75,334.69,336.39,332.73,19617850
12-27-2021,335.46,342.45,342.48,335.43,19947030
12-28-2021,343.15,341.25,343.81,340.32,15661470
12-29-2021,341.30,341.95,344.30,339.68,15041960
12-30-2021,341.91,339.32,343.13,338.82,15994470
12-31-2021,338.51,336.32,339.36,335.85,18000800
